timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136574997,1868,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-35,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1868,0,0
1779136575787,1084,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-26,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1082,0,0
1779136575021,1850,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-9,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1850,0,0
1779136575940,934,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-45,text,true,,637,170,100,130,http://localhost:8080/api/public/specialties,933,0,0
1779136575788,1097,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-38,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1097,0,0
1779136575860,1046,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-3,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1046,0,0
1779136575879,1027,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-65,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1027,0,0
1779136576885,21,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-38,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,21,0,0
1779136575884,1059,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-64,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1059,0,0
1779136575892,1069,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-17,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1068,0,0
1779136575811,1151,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-93,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1151,0,0
1779136575976,986,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-14,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,976,0,0
1779136576028,965,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-2,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,965,0,0
1779136575907,1087,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-20,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1086,0,0
1779136575801,1233,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-25,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1233,0,0
